% Re Pr Nu
10107.0595 2.830347 72.4166666666667
10379.8881 2.854538 72.5
14385.508 2.854538 87.5
19222.015 2.951302 114.166666666667
19470.041 2.999684 107.5
24182.535 3.023875 126.666666666667
27282.86 3.048066 139.166666666667
27778.912 3.023875 155.833333333333
31995.354 3.072257 159.166666666667
33731.536 3.096448 181.666666666667
34227.588 3.120639 166.666666666667
38816.069 3.14483 214.166666666667
2281.8392 47.17245 35.5
2827.4964 46.68863 47.1666666666667
3707.9887 43.30189 62.5833333333333
4613.2836 41.36661 79.5
5779.0058 40.64088 95
7143.1488 38.46369 120
8842.1269 37.73796 147.5
10851.1375 36.52841 176.666666666667
14261.495 35.31886 223.333333333333
17361.82 35.07695 266.666666666667
20958.197 34.10931 313.333333333333
25546.678 32.89976 355.833333333333
30011.146 32.65785 407.5
753.99904 210.4617 26.75
992.104 223.76675 26.3333333333333
1054.1105 215.2999 28.1666666666667
1289.7352 218.92855 33.3333333333333
1264.9326 223.76675 25.1666666666667
1537.7612 222.5572 37.9166666666667
2306.6418 166.9179 56.6666666666667
3211.9367 133.0505 87.5
2356.247 179.0134 60.4166666666667
3819.6004 129.42185 108.333333333333
3881.6069 133.0505 107.5
10218.6712 57.81649 190.833333333333
10156.6647 59.26795 201.666666666667
4960.52 114.90725 131.666666666667
6423.8734 110.06905 170
13145.378 62.8966 257.5
12525.313 65.55761 257.5
11272.7817 72.573 244.166666666667
9970.6452 81.52367 234.166666666667
8420.4827 100.39265 210
10627.9141 95.55445 256.666666666667
12649.326 93.13535 287.5
620.065 749.921 28.9166666666667
725.47605 749.921 36.0833333333333
874.29165 774.112 39.8333333333333
4303.2511 203.2044 124.166666666667
2009.0106 413.6661 55.5833333333333
2691.0821 324.1594 85
3211.9367 275.7774 93.3333333333333
1661.7742 527.3638 55
1339.3404 701.539 50
